Date,Cash_In,Cash_Out,Net_Cashflow,End_Balance,Transaction_Count,Lag_1,Lag_7,Rolling_Mean_7,Rolling_Std_7,Rolling_CashIn_7,Rolling_CashOut_7,Target
24-08-2023,1950,250,1700,4724.8,7,-800,-100,363.4285714,1568.86178,5665,3121,-4528
25-08-2023,554,5082,-4528,196.8,12,1700,-170,-259.1428571,2439.136625,6219,8033,1619
26-08-2023,1700,81,1619,1815.8,6,-4528,-500,43.57142857,2533.912709,7919,7614,-1260
27-08-2023,240,1500,-1260,555.8,3,1619,15,-138.5714286,2581.683292,8144,9114,840
28-08-2023,850,10,840,1395.8,2,-1260,-1000,124.2857143,2573.014362,8994,8124,-700
29-08-2023,600,1300,-700,695.8,3,840,3299,-447,2161.730865,6294,9423,755
30-08-2023,770,15,755,1450.8,3,-700,-800,-224.8571429,2198.986314,6664,8238,2050
31-08-2023,2300,250,2050,3500.8,5,755,1700,-174.8571429,2253.354716,7014,8238,-3500
01-09-2023,0,3500,-3500,0.8,1,2050,-4528,-28,1933.106222,6460,6656,34
03-09-2023,34,0,34,34.8,1,-3500,1619,-254.4285714,1796.002214,4794,6575,1110
04-09-2023,1310,200,1110,1144.8,3,34,-1260,84.14285714,1798.231578,5864,5275,1300
05-09-2023,1300,0,1300,2444.8,2,1110,840,149.8571429,1838.413304,6314,5265,-25
06-09-2023,0,25,-25,2419.8,2,1300,-700,246.2857143,1803.783497,5714,3990,130
08-09-2023,850,720,130,2549.8,3,-25,755,157,1789.820196,5794,4695,50
09-09-2023,550,500,50,2599.8,4,130,2050,-128.7142857,1585.208158,4044,4945,-10
11-09-2023,0,10,-10,2589.8,1,50,-3500,369.8571429,575.3000459,4044,1455,90
12-09-2023,180,90,90,2679.8,4,-10,34,377.8571429,570.2182122,4190,1545,-2250
13-09-2023,750,3000,-2250,429.8,3,90,1110,-102.1428571,1057.330984,3630,4345,5860
14-09-2023,6170,310,5860,6289.8,5,-2250,1300,549.2857143,2493.936695,8500,4655,940
15-09-2023,980,40,940,7229.8,3,5860,-25,687.1428571,2483.550646,9480,4670,-230
16-09-2023,0,230,-230,6999.8,2,940,130,635.7142857,2500.678955,8630,4180,21
17-09-2023,50,29,21,7020.8,3,-230,50,631.5714286,2501.834784,8130,3709,209
18-09-2023,450,241,209,7229.8,2,21,-10,662.8571429,2493.831218,8580,3940,-129
20-09-2023,0,129,-129,7100.8,3,209,90,631.5714286,2503.570308,8400,3979,551
21-09-2023,4051,3500,551,7651.8,4,-129,-2250,1031.714286,2167.54175,11701,4479,-5600
22-09-2023,0,5600,-5600,2051.8,7,551,5860,-605.4285714,2239.607768,5531,9769,1153
23-09-2023,1280,127,1153,3204.8,5,-5600,940,-575,2265.40276,5831,9856,-110
24-09-2023,0,110,-110,3094.8,1,1153,-230,-557.8571429,2268.899912,5831,9736,1060
25-09-2023,1120,60,1060,4154.8,4,-110,21,-409.4285714,2345.762481,6901,9767,-3601
26-09-2023,400,4001,-3601,553.8,4,1060,209,-953.7142857,2605.940503,6851,13527,70
27-09-2023,600,530,70,623.8,6,-3601,-129,-925.2857143,2617.49675,7451,13928,160
28-09-2023,1450,1290,160,783.8,3,70,551,-981.1428571,2584.708909,4850,11718,100
29-09-2023,600,500,100,883.8,2,160,-5600,-166.8571429,1595.719318,5450,6618,105
30-09-2023,480,375,105,988.8,6,100,1153,-316.5714286,1497.381254,4650,6866,659
01-10-2023,5250,4591,659,1647.8,6,105,-110,-206.7142857,1542.589351,9900,11347,170
02-10-2023,540,370,170,1817.8,2,659,1060,-333.8571429,1454.973245,9320,11657,571
03-10-2023,600,29,571,2388.8,3,170,-3601,262.1428571,244.8519475,9520,7685,170
04-10-2023,250,80,170,2558.8,4,571,70,276.4285714,234.4702235,9170,7235,410
05-10-2023,600,190,410,2968.8,4,170,160,312.1428571,232.8142526,8320,6135,114
06-10-2023,920,806,114,3082.8,7,410,100,314.1428571,230.7389785,8640,6441,-39
07-10-2023,2330,2369,-39,3043.8,5,114,105,293.5714286,257.3744724,10490,8435,1800
08-10-2023,1900,100,1800,4843.8,2,-39,659,456.5714286,625.4672539,7140,3944,-1960
09-10-2023,200,2160,-1960,2883.8,5,1800,170,152.2857143,1114.811003,6800,5734,-235
10-10-2023,100,335,-235,2648.8,4,-1960,571,37.14285714,1105.94491,6300,6040,-570
11-10-2023,250,820,-570,2078.8,5,-235,170,-68.57142857,1126.308699,6300,6780,1200
12-10-2023,1200,0,1200,3278.8,2,-570,410,44.28571429,1218.09369,6900,6590,600
13-10-2023,600,0,600,3878.8,1,1200,114,113.7142857,1236.441765,6580,5784,-1020
14-10-2023,0,1020,-1020,2858.8,3,600,-39,-26.42857143,1310.040439,4250,4435,-915
15-10-2023,0,915,-915,1943.8,4,-1020,1800,-414.2857143,1056.56057,2350,5250,300
16-10-2023,1300,1000,300,2243.8,2,-915,-1960,-91.42857143,825.5539266,3450,4090,709
17-10-2023,950,241,709,2952.8,2,300,-235,43.42857143,873.8805901,4300,3996,930
18-10-2023,930,0,930,3882.8,1,709,-570,257.7142857,882.2593561,4980,3176,-35
19-10-2023,0,35,-35,3847.8,2,930,1200,81.28571429,779.9764343,3780,3211,-540
20-10-2023,0,540,-540,3307.8,2,-35,600,-81.57142857,772.5988302,3180,3751,-2606
21-10-2023,830,3436,-2606,701.8,3,-540,-1020,-308.1428571,1205.14196,4010,6167,-210
