Date,Cash_In,Cash_Out,Net_Cashflow,End_Balance,Transaction_Count
2023-06-27,0.0,100.0,-100.0,2180.8,1
2023-06-28,0.0,170.0,-170.0,2010.8,1
2023-07-26,0.0,500.0,-500.0,1510.8,1
2023-08-06,15.0,0.0,15.0,1525.8,1
2023-08-07,0.0,1000.0,-1000.0,525.8,1
2023-08-22,3300.0,1.0,3299.0,3824.8,3
2023-08-23,400.0,1200.0,-800.0,3024.8,2
2023-08-24,1950.0,250.0,1700.0,4724.8,7
2023-08-25,554.0,5082.0,-4528.0,196.8,12
2023-08-26,1700.0,81.0,1619.0,1815.8,6
2023-08-27,240.0,1500.0,-1260.0,555.8,3
2023-08-28,850.0,10.0,840.0,1395.8,2
2023-08-29,600.0,1300.0,-700.0,695.8,3
2023-08-30,770.0,15.0,755.0,1450.8,3
2023-08-31,2300.0,250.0,2050.0,3500.8,5
2023-09-01,0.0,3500.0,-3500.0,0.8,1
2023-09-03,34.0,0.0,34.0,34.8,1
2023-09-04,1310.0,200.0,1110.0,1144.8,3
2023-09-05,1300.0,0.0,1300.0,2444.8,2
2023-09-06,0.0,25.0,-25.0,2419.8,2
2023-09-08,850.0,720.0,130.0,2549.8,3
2023-09-09,550.0,500.0,50.0,2599.8,4
2023-09-11,0.0,10.0,-10.0,2589.8,1
2023-09-12,180.0,90.0,90.0,2679.8,4
2023-09-13,750.0,3000.0,-2250.0,429.8,3
2023-09-14,6170.0,310.0,5860.0,6289.8,5
2023-09-15,980.0,40.0,940.0,7229.8,3
2023-09-16,0.0,230.0,-230.0,6999.8,2
2023-09-17,50.0,29.0,21.0,7020.8,3
2023-09-18,450.0,241.0,209.0,7229.8,2
2023-09-20,0.0,129.0,-129.0,7100.8,3
2023-09-21,4051.0,3500.0,551.0,7651.8,4
2023-09-22,0.0,5600.0,-5600.0,2051.8,7
2023-09-23,1280.0,127.0,1153.0,3204.8,5
2023-09-24,0.0,110.0,-110.0,3094.8,1
2023-09-25,1120.0,60.0,1060.0,4154.8,4
2023-09-26,400.0,4001.0,-3601.0,553.8,4
2023-09-27,600.0,530.0,70.0,623.8,6
2023-09-28,1450.0,1290.0,160.0,783.8,3
2023-09-29,600.0,500.0,100.0,883.8,2
2023-09-30,480.0,375.0,105.0,988.8,6
2023-10-01,5250.0,4591.0,659.0,1647.8,6
2023-10-02,540.0,370.0,170.0,1817.8,2
2023-10-03,600.0,29.0,571.0,2388.8,3
2023-10-04,250.0,80.0,170.0,2558.8,4
2023-10-05,600.0,190.0,410.0,2968.8,4
2023-10-06,920.0,806.0,114.0,3082.8,7
2023-10-07,2330.0,2369.0,-39.0,3043.8,5
2023-10-08,1900.0,100.0,1800.0,4843.8,2
2023-10-09,200.0,2160.0,-1960.0,2883.8,5
2023-10-10,100.0,335.0,-235.0,2648.8,4
2023-10-11,250.0,820.0,-570.0,2078.8,5
2023-10-12,1200.0,0.0,1200.0,3278.8,2
2023-10-13,600.0,0.0,600.0,3878.8,1
2023-10-14,0.0,1020.0,-1020.0,2858.8,3
2023-10-15,0.0,915.0,-915.0,1943.8,4
2023-10-16,1300.0,1000.0,300.0,2243.8,2
2023-10-17,950.0,241.0,709.0,2952.8,2
2023-10-18,930.0,0.0,930.0,3882.8,1
2023-10-19,0.0,35.0,-35.0,3847.8,2
2023-10-20,0.0,540.0,-540.0,3307.8,2
2023-10-21,830.0,3436.0,-2606.0,701.8,3
2023-10-22,0.0,210.0,-210.0,491.8,2
2023-10-23,370.0,170.0,200.0,691.8,4
2023-10-24,350.0,443.0,-93.0,598.8,7
2023-10-25,1000.0,79.0,921.0,1519.8,3
2023-10-26,0.0,10.0,-10.0,1509.8,1
2023-10-28,800.0,764.0,36.0,1545.8,5
2023-10-30,202.0,222.0,-20.0,1525.8,4
2023-10-31,0.0,30.0,-30.0,1495.8,1
2023-11-01,0.0,145.0,-145.0,1350.8,1
2023-11-02,280.0,660.0,-380.0,970.8,4
2023-11-03,0.0,240.0,-240.0,730.8,2
2023-11-04,0.0,519.0,-519.0,211.8,2
2023-11-05,0.0,20.0,-20.0,191.8,1
2023-11-06,200.0,305.0,-105.0,86.8,3
2023-11-07,1150.0,611.0,539.0,625.8,5
2023-11-08,445.0,50.0,395.0,1020.8,4
2023-11-09,3150.0,140.0,3010.0,4030.8,3
2023-11-10,10.0,1300.0,-1290.0,2740.8,3
2023-11-11,3440.0,190.0,3250.0,5990.8,4
2023-11-12,4900.0,3540.0,1360.0,7350.8,6
2023-11-13,0.0,1220.0,-1220.0,6130.8,3
2023-11-14,38001.0,19160.0,18841.0,24971.8,9
2023-11-15,2000.0,14511.0,-12511.0,12460.8,7
2023-11-16,46720.0,1000.0,45720.0,58180.8,4
2023-11-17,270.0,28250.0,-27980.0,30200.8,5
2023-11-18,0.0,430.0,-430.0,29770.8,2
2023-11-19,600.0,520.0,80.0,29850.8,4
2023-11-20,1700.0,245.0,1455.0,31305.8,3
2023-11-21,2200.0,0.0,2200.0,33505.8,1
2023-11-22,1250.0,490.0,760.0,34265.8,3
2023-11-23,550.0,0.0,550.0,34815.8,3
2023-11-24,1600.0,271.0,1329.0,36144.8,4
2023-11-25,2200.0,441.0,1759.0,37903.8,3
2023-11-26,1070.0,5001.0,-3931.0,33972.8,3
2023-11-27,950.0,139.0,811.0,34783.8,3
2023-11-28,900.0,169.0,731.0,35514.8,4
2023-11-29,2151.0,31932.0,-29781.0,5733.8,9
2023-12-01,1500.0,489.0,1011.0,6744.8,4
2023-12-02,600.0,540.0,60.0,6804.8,3
2023-12-03,1450.0,1000.0,450.0,7254.8,2
2023-12-04,900.0,1789.0,-889.0,6365.8,3
2023-12-05,7560.0,13260.0,-5700.0,665.8,4
2023-12-06,0.0,138.0,-138.0,527.8,1
2023-12-07,150.0,88.0,62.0,589.8,3
2023-12-08,1630.0,75.0,1555.0,2144.8,3
2023-12-09,210.0,160.0,50.0,2194.8,3
2023-12-10,450.0,15.0,435.0,2629.8,3
2023-12-11,2300.0,30.0,2270.0,4899.8,2
2023-12-12,400.0,239.0,161.0,5060.8,2
2023-12-13,2150.0,550.0,1600.0,6660.8,4
2023-12-14,550.0,2010.0,-1460.0,5200.8,3
2023-12-15,0.0,30.0,-30.0,5170.8,1
2023-12-16,700.0,530.0,170.0,5340.8,3
2023-12-17,1600.0,170.0,1430.0,6770.8,5
2023-12-18,2970.0,1300.0,1670.0,8440.8,3
2023-12-19,0.0,565.0,-565.0,7875.8,3
2023-12-20,1100.0,900.0,200.0,8075.8,2
2023-12-21,1475.51,500.0,975.51,9051.31,3
2023-12-22,2440.0,55.0,2385.0,11436.31,3
2023-12-23,2730.0,255.9,2474.1,13910.41,3
2023-12-24,800.0,4155.0,-3355.0,10555.41,6
2023-12-25,701.0,5920.0,-5219.0,5336.41,5
2023-12-26,850.0,0.0,850.0,6186.41,1
2023-12-27,200.0,6255.9,-6055.9,130.51,6
2023-12-28,228.0,20.0,208.0,338.51,2
2023-12-29,550.0,10.0,540.0,878.51,2
2023-12-30,0.0,578.0,-578.0,300.51,2
2023-12-31,1759.0,0.0,1759.0,2059.51,2
2024-01-01,6270.0,5095.0,1175.0,3234.51,6
2024-01-02,0.0,810.0,-810.0,2424.51,3
2024-01-03,70.0,20.0,50.0,2474.51,2
2024-01-04,600.0,1741.0,-1141.0,1333.51,3
2024-01-06,550.0,1500.0,-950.0,383.51,2
2024-01-08,2100.0,1200.0,900.0,1283.51,4
2024-01-09,0.0,555.9,-555.9,727.61,3
2024-01-10,2790.0,640.0,2150.0,2877.61,5
2024-01-11,0.0,1000.0,-1000.0,1877.61,1
2024-01-12,1160.0,330.0,830.0,2707.61,4
2024-01-13,0.0,950.0,-950.0,1757.61,3
2024-01-14,290.0,15.0,275.0,2032.61,2
2024-01-15,0.0,190.0,-190.0,1842.61,2
2024-01-16,1650.0,10.0,1640.0,3482.61,3
2024-01-17,0.0,20.0,-20.0,3462.61,2
2024-01-18,0.0,315.0,-315.0,3147.61,2
2024-01-19,0.0,895.9,-895.9,2251.71,3
2024-01-20,90.0,0.0,90.0,2341.71,1
2024-01-21,580.0,350.0,230.0,2571.71,3
2024-01-22,0.0,10.0,-10.0,2561.71,1
2024-01-24,350.0,740.9,-390.9,2170.81,3
2024-01-26,300.0,260.0,40.0,2210.81,2
2024-01-27,550.0,655.0,-105.0,2105.81,4
2024-01-28,1720.0,865.0,855.0,2960.81,4
2024-01-29,1950.0,0.0,1950.0,4910.81,2
2024-01-30,800.0,587.0,213.0,5123.81,4
2024-01-31,307.0,5100.0,-4793.0,330.81,4
2024-02-01,900.0,19.0,881.0,1211.81,2
2024-02-03,258.0,570.0,-312.0,899.81,5
2024-02-04,800.0,120.0,680.0,1579.81,2
2024-02-05,0.0,700.0,-700.0,879.81,3
2024-02-06,0.0,10.0,-10.0,869.81,1
2024-02-07,0.0,210.0,-210.0,659.81,2
2024-02-08,2600.0,410.0,2190.0,2849.81,4
2024-02-09,0.0,100.0,-100.0,2749.81,1
2024-02-10,750.0,500.0,250.0,2999.81,2
2024-02-11,200.0,45.0,155.0,3154.81,3
2024-02-12,10590.0,500.0,10090.0,13244.81,3
2024-02-13,0.0,10370.0,-10370.0,2874.81,4
2024-02-14,50.0,2705.0,-2655.0,219.81,5
2024-02-15,3004.0,0.0,3004.0,3223.81,2
2024-02-16,0.0,235.0,-235.0,2988.81,3
2024-02-17,0.0,2740.9,-2740.9,247.91,2
2024-02-18,440.0,0.0,440.0,687.91,1
2024-02-19,40.0,130.0,-90.0,597.91,4
2024-02-20,100.0,290.0,-190.0,407.91,2
2024-02-21,0.0,130.0,-130.0,277.91,1
2024-02-22,3600.0,99.0,3501.0,3778.91,5
2024-02-23,0.0,260.0,-260.0,3518.91,3
2024-02-24,20200.0,35.0,20165.0,23683.91,3
2024-02-25,20100.0,20119.0,-19.0,23664.91,5
2024-02-26,0.0,60.0,-60.0,23604.91,1
2024-02-27,0.0,10.0,-10.0,23594.91,1
2024-02-28,150.0,140.0,10.0,23604.91,3
2024-02-29,0.0,700.0,-700.0,22904.91,2
2024-03-01,0.0,550.0,-550.0,22354.91,2
2024-03-02,0.0,20.0,-20.0,22334.91,2
2024-03-03,200.0,428.0,-228.0,22106.91,8
2024-03-04,200.0,185.0,15.0,22121.91,8
2024-03-05,0.0,240.9,-240.9,21881.01,1
2024-03-06,300.0,620.0,-320.0,21561.01,6
2024-03-07,0.0,4600.0,-4600.0,16961.01,1
2024-03-08,0.0,297.0,-297.0,16664.01,4
2024-03-09,0.0,790.0,-790.0,15874.01,2
2024-03-10,0.0,535.0,-535.0,15339.01,2
2024-03-11,0.0,200.0,-200.0,15139.01,1
2024-03-12,1630.0,0.0,1630.0,16769.01,1
2024-03-13,140.0,74.0,66.0,16835.01,3
2024-03-14,200.0,5641.0,-5441.0,11394.01,5
2024-03-15,300.0,100.0,200.0,11594.01,5
2024-03-16,800.0,240.9,559.1,12153.11,2
2024-03-17,2150.0,319.0,1831.0,13984.11,3
2024-03-18,250.0,10.0,240.0,14224.11,2
2024-03-19,1150.0,3175.0,-2025.0,12199.11,5
2024-03-20,920.0,12625.0,-11705.0,494.11,4
2024-03-21,270.0,175.0,95.0,589.11,3
2024-03-22,4370.0,111.0,4259.0,4848.11,4
2024-03-23,0.0,4510.0,-4510.0,338.11,2
2024-03-24,5800.0,740.0,5060.0,5398.11,5
2024-03-25,100.0,49.0,51.0,5449.11,3
2024-03-26,0.0,120.0,-120.0,5329.11,1
2024-03-27,0.0,95.0,-95.0,5234.11,4
2024-03-28,5500.0,5070.0,430.0,5664.11,6
2024-03-29,170.0,780.0,-610.0,5054.11,5
2024-03-30,0.0,550.0,-550.0,4504.11,2
2024-03-31,970.0,791.0,179.0,4683.11,6
2024-04-01,0.0,630.0,-630.0,4053.11,4
2024-04-02,1100.0,1240.0,-140.0,3913.11,6
2024-04-03,30.0,0.0,30.0,3943.11,1
2024-04-04,0.0,800.0,-800.0,3143.11,3
2024-04-05,0.0,310.0,-310.0,2833.11,4
2024-04-06,280.0,360.0,-80.0,2753.11,6
2024-04-07,1850.0,1880.0,-30.0,2723.11,7
2024-04-08,0.0,2500.0,-2500.0,223.11,1
2024-04-09,1320.0,1136.0,184.0,407.11,7
2024-04-10,700.0,204.0,496.0,903.11,5
2024-04-11,230.0,1070.9,-840.9,62.21,4
2024-04-12,32589.0,30950.0,1639.0,1701.21,5
2024-04-13,2300.0,2350.0,-50.0,1651.21,3
2024-04-14,0.0,1650.0,-1650.0,1.21,2
2024-04-15,950.0,405.0,545.0,546.21,6
2024-04-16,600.0,130.0,470.0,1016.21,2
2024-04-17,3420.0,4270.0,-850.0,166.21,5
2024-04-18,0.0,130.0,-130.0,36.21,1
2024-04-19,500.0,430.0,70.0,106.21,4
2024-04-20,1450.0,400.0,1050.0,1156.21,5
2024-04-21,780.0,0.0,780.0,1936.21,1
2024-04-22,2970.0,535.0,2435.0,4371.21,5
2024-04-23,300.0,660.0,-360.0,4011.21,4
2024-04-24,1571.0,131.0,1440.0,5451.21,4
2024-04-25,1200.0,0.0,1200.0,6651.21,1
2024-04-26,1160.0,640.0,520.0,7171.21,4
2024-04-27,1060.0,7913.0,-6853.0,318.21,5
2024-04-28,1600.0,125.0,1475.0,1793.21,7
2024-04-29,650.0,0.0,650.0,2443.21,1
2024-04-30,50.0,2305.0,-2255.0,188.21,8
2024-05-01,1650.0,242.0,1408.0,1596.21,2
2024-05-02,907.0,2400.0,-1493.0,103.21,10
2024-05-03,320.0,230.0,90.0,193.21,3
2024-05-04,1380.0,550.0,830.0,1023.21,4
2024-05-05,800.0,430.0,370.0,1393.21,5
2024-05-06,250.0,320.0,-70.0,1323.21,6
2024-05-07,1850.0,2729.0,-879.0,444.21,10
2024-05-08,1060.0,390.0,670.0,1114.21,6
2024-05-09,50.0,1114.0,-1064.0,50.21,8
2024-05-10,4000.0,2230.0,1770.0,1820.21,5
2024-05-11,570.0,1460.9,-890.9,929.31,6
2024-05-12,1750.0,485.0,1265.0,2194.31,5
2024-05-13,11530.0,130.0,11400.0,13594.31,5
2024-05-14,0.0,11300.0,-11300.0,2294.31,6
2024-05-15,650.0,770.0,-120.0,2174.31,7
2024-05-16,1130.0,1190.0,-60.0,2114.31,7
2024-05-17,650.0,1505.0,-855.0,1259.31,4
2024-05-18,0.0,375.0,-375.0,884.31,4
2024-05-19,100.0,675.0,-575.0,309.31,7
2024-05-20,0.0,260.0,-260.0,49.31,2
2024-05-21,1070.0,715.0,355.0,404.31,5
2024-05-22,5970.0,4339.0,1631.0,2035.31,8
2024-05-23,650.0,1335.0,-685.0,1350.31,8
2024-05-24,600.0,860.0,-260.0,1090.31,4
2024-05-25,1600.0,1000.0,600.0,1690.31,10
2024-05-26,0.0,520.0,-520.0,1170.31,6
2024-05-27,0.0,851.0,-851.0,319.31,6
2024-05-28,210.0,260.0,-50.0,269.31,3
2024-05-29,450.0,695.9,-245.9,23.41,6
2024-05-30,938.0,200.0,738.0,761.41,4
