Date,Cash_In,Cash_Out,Net_Cashflow,End_Balance,Transaction_Count,Lag_1,Lag_7,Rolling_Mean_7,Rolling_Std_7,Rolling_CashIn_7,Rolling_CashOut_7,Target,Cash_Ratio,Negative_Streak,Cashflow_Score,Balance_Score,Ratio_Score,Volatility_Score,NegativeDay_Score,Liquidity_Score,Liquidity_Risk,Recommendation
2023-08-24,1950.0,250.0,1700.0,4724.8,7,-800.0,-100.0,363.4285714285714,1568.8617803089874,5665.0,3121.0,-4528.0,7.8,0,0.6693076670051369,18.639706057627535,31.41993957703929,88.2651538247294,100.0,29.37,High Risk,Reduce discretionary spending | Accelerate receivable collection
2023-08-25,554.0,5082.0,-4528.0,196.8,12,1700.0,-170.0,-259.1428571428572,2439.13662515868,6219.0,8033.0,1619.0,0.10901219992129083,1,88.58029546787182,0.030139852862774322,0.439122658293216,80.17669744606442,75.0,46.6,High Risk,Increase cash inflows immediately | Maintain emergency cash reserve | Reduce discretionary spending | Accelerate receivable collection
2023-08-26,1700.0,81.0,1619.0,1815.8,6,-4528.0,-500.0,43.57142857142857,2533.912709437249,7919.0,7614.0,-1260.0,20.987654320987655,0,47.40643279035511,6.684046143833214,84.54241418323329,79.29583523573558,100.0,49.21,High Risk,Reduce discretionary spending | Accelerate receivable collection
2023-08-27,240.0,1500.0,-1260.0,555.8,3,1619.0,15.0,-138.57142857142858,2581.6832917783736,8144.0,9114.0,840.0,0.16,1,77.43946913032909,1.5055891168889557,0.6445115810674726,78.85184874832154,75.0,43.04,High Risk,Increase cash inflows immediately | Maintain emergency cash reserve | Reduce discretionary spending | Accelerate receivable collection
2023-08-28,850.0,10.0,840.0,1395.8,2,-1260.0,-1000.0,124.28571428571428,2573.01436155376,8994.0,8124.0,-700.0,85.0,0,55.415242481014836,4.957893801518461,100.0,78.93241900079575,100.0,53.78,Moderate Risk,Delay non-essential purchases
2023-08-29,600.0,1300.0,-700.0,695.8,3,840.0,3299.0,-447.0,2161.730865147956,6294.0,9423.0,755.0,0.46153846153846156,1,76.22384623085395,2.080973230993873,1.8591680223100173,82.75494545853533,75.0,43.36,High Risk,Increase cash inflows immediately | Maintain emergency cash reserve | Reduce discretionary spending | Accelerate receivable collection
2023-08-30,770.0,15.0,755.0,1450.8,3,-700.0,-800.0,-224.8571428571429,2198.9863140828797,6664.0,8238.0,2050.0,51.333333333333336,0,94.74421864050456,5.183937560631107,100.0,82.40868809471395,100.0,67.96,Moderate Risk,Delay non-essential purchases
2023-08-31,2300.0,250.0,2050.0,3500.8,5,755.0,1700.0,-174.85714285714286,2253.354716015762,7014.0,8238.0,-3500.0,9.2,0,15.371194027716207,13.609204945738828,37.05941591137967,81.90338054731748,100.0,33.21,High Risk,Reduce discretionary spending | Accelerate receivable collection
2023-09-01,0.0,3500.0,-3500.0,0.8,1,2050.0,-4528.0,-28.0,1933.1062222926769,6460.0,6656.0,34.0,0.0,1,65.91250375412955,0.0,0.0,84.87981493139958,75.0,39.06,High Risk,Increase cash inflows immediately | Maintain emergency cash reserve | Reduce discretionary spending | Accelerate receivable collection
2023-09-03,34.0,0.0,34.0,34.8,1,-3500.0,1619.0,-254.42857142857144,1796.0022139131538,4794.0,6575.0,1110.0,10.0,0,81.30085951689718,0.0,40.281973816717034,86.15407880065966,100.0,53.11,Moderate Risk,Delay non-essential purchases
2023-09-04,1310.0,200.0,1110.0,1144.8,3,34.0,-1260.0,84.14285714285714,1798.231578391339,5864.0,5275.0,1300.0,6.55,0,84.018134233371,3.9263122826589303,26.38469284994966,86.13335877474985,100.0,53.16,Moderate Risk,Delay non-essential purchases
2023-09-05,1300.0,0.0,1300.0,2444.8,2,1110.0,840.0,149.85714285714286,1838.413303963631,6314.0,5265.0,-25.0,10.0,0,65.06871844743505,9.269164770776023,40.281973816717034,85.75990418573768,100.0,50.17,Moderate Risk,Delay non-essential purchases
2023-09-06,0.0,25.0,-25.0,2419.8,2,1300.0,-700.0,246.28571428571428,1803.783497197461,5714.0,3990.0,130.0,0.0,1,67.28544255824265,9.166417607543002,0.0,86.08175846325405,75.0,42.41,High Risk,Increase cash inflows immediately | Reduce discretionary spending | Accelerate receivable collection
2023-09-08,850.0,720.0,130.0,2549.8,3,-25.0,755.0,157.0,1789.8201958111129,5794.0,4695.0,50.0,1.1805555555555556,0,66.1413268881484,9.700702856354711,4.755510797806872,86.21153534332132,100.0,45.39,High Risk,Reduce discretionary spending | Accelerate receivable collection
2023-09-09,550.0,500.0,50.0,2599.8,4,130.0,2050.0,-128.71428571428572,1585.208158180465,4044.0,4945.0,-10.0,1.1,0,65.28324013557771,9.906197182820753,4.431017119838875,88.11322829781673,100.0,45.3,High Risk,Reduce discretionary spending | Accelerate receivable collection
2023-09-11,0.0,10.0,-10.0,2589.8,1,50.0,-3500.0,369.8571428571428,575.300045938761,4044.0,1455.0,90.0,0.0,1,66.71338472319552,9.865098317527545,0.0,97.4994558334842,75.0,43.56,High Risk,Increase cash inflows immediately | Reduce discretionary spending | Accelerate receivable collection
2023-09-12,180.0,90.0,90.0,2679.8,4,-10.0,34.0,377.8571428571428,570.2182121993361,4190.0,1545.0,-2250.0,2.0,0,33.24800137293881,10.23498810516642,8.056394763343407,97.54668710848684,100.0,35.67,High Risk,Reduce discretionary spending | Accelerate receivable collection
2023-09-13,750.0,3000.0,-2250.0,429.8,3,90.0,1110.0,-102.14285714285714,1057.3309839041924,3630.0,4345.0,5860.0,0.25,1,100.0,0.98774341419453,1.007049345417926,93.01939273850444,75.0,52.25,Moderate Risk,Review operational expenses | Delay non-essential purchases
2023-09-14,6170.0,310.0,5860.0,6289.8,5,-2250.0,1300.0,549.2857142857143,2493.936694885264,8500.0,4655.0,940.0,19.903225806451612,0,78.86961371794689,25.071678476014647,80.17412208036907,79.66737791769424,100.0,65.12,Moderate Risk,Delay non-essential purchases
2023-09-15,980.0,40.0,940.0,7229.8,3,5860.0,-25.0,687.1428571428571,2483.550645653075,9480.0,4670.0,-230.0,24.5,0,62.13692204281854,28.934971813576237,98.69083585095673,79.76390731488225,100.0,63.21,Moderate Risk,Delay non-essential purchases
2023-09-16,0.0,230.0,-230.0,6999.8,2,940.0,130.0,635.7142857142857,2500.678955422953,8630.0,4180.0,21.0,0.0,1,65.72658495773923,27.989697911832444,0.0,79.60471440331665,75.0,46.86,High Risk,Increase cash inflows immediately | Reduce discretionary spending | Accelerate receivable collection
