Date,Cash_In,Cash_Out,Net_Cashflow,End_Balance,Transaction_Count,Lag_1,Lag_7,Rolling_Mean_7,Rolling_Std_7,Rolling_CashIn_7,Rolling_CashOut_7,Target
2023-08-24,1950.0,250.0,1700.0,4724.8,7,-800.0,-100.0,363.42857142857144,1568.8617803089874,5665.0,3121.0,-4528.0
2023-08-25,554.0,5082.0,-4528.0,196.8,12,1700.0,-170.0,-259.14285714285717,2439.13662515868,6219.0,8033.0,1619.0
2023-08-26,1700.0,81.0,1619.0,1815.8,6,-4528.0,-500.0,43.57142857142857,2533.912709437249,7919.0,7614.0,-1260.0
2023-08-27,240.0,1500.0,-1260.0,555.8,3,1619.0,15.0,-138.57142857142858,2581.6832917783736,8144.0,9114.0,840.0
2023-08-28,850.0,10.0,840.0,1395.8,2,-1260.0,-1000.0,124.28571428571429,2573.01436155376,8994.0,8124.0,-700.0
2023-08-29,600.0,1300.0,-700.0,695.8,3,840.0,3299.0,-447.0,2161.730865147956,6294.0,9423.0,755.0
2023-08-30,770.0,15.0,755.0,1450.8,3,-700.0,-800.0,-224.85714285714286,2198.9863140828793,6664.0,8238.0,2050.0
2023-08-31,2300.0,250.0,2050.0,3500.8,5,755.0,1700.0,-174.85714285714286,2253.354716015762,7014.0,8238.0,-3500.0
2023-09-01,0.0,3500.0,-3500.0,0.8,1,2050.0,-4528.0,-28.0,1933.1062222926769,6460.0,6656.0,34.0
2023-09-03,34.0,0.0,34.0,34.8,1,-3500.0,1619.0,-254.42857142857142,1796.0022139131538,4794.0,6575.0,1110.0
2023-09-04,1310.0,200.0,1110.0,1144.8,3,34.0,-1260.0,84.14285714285714,1798.2315783913393,5864.0,5275.0,1300.0
2023-09-05,1300.0,0.0,1300.0,2444.8,2,1110.0,840.0,149.85714285714286,1838.413303963631,6314.0,5265.0,-25.0
2023-09-06,0.0,25.0,-25.0,2419.8,2,1300.0,-700.0,246.28571428571428,1803.783497197461,5714.0,3990.0,130.0
2023-09-08,850.0,720.0,130.0,2549.8,3,-25.0,755.0,157.0,1789.8201958111129,5794.0,4695.0,50.0
2023-09-09,550.0,500.0,50.0,2599.8,4,130.0,2050.0,-128.71428571428572,1585.208158180465,4044.0,4945.0,-10.0
2023-09-11,0.0,10.0,-10.0,2589.8,1,50.0,-3500.0,369.85714285714283,575.300045938761,4044.0,1455.0,90.0
2023-09-12,180.0,90.0,90.0,2679.8,4,-10.0,34.0,377.85714285714283,570.2182121993361,4190.0,1545.0,-2250.0
2023-09-13,750.0,3000.0,-2250.0,429.8,3,90.0,1110.0,-102.14285714285714,1057.3309839041924,3630.0,4345.0,5860.0
2023-09-14,6170.0,310.0,5860.0,6289.8,5,-2250.0,1300.0,549.2857142857143,2493.936694885264,8500.0,4655.0,940.0
2023-09-15,980.0,40.0,940.0,7229.8,3,5860.0,-25.0,687.1428571428571,2483.550645653075,9480.0,4670.0,-230.0
2023-09-16,0.0,230.0,-230.0,6999.8,2,940.0,130.0,635.7142857142857,2500.6789554229535,8630.0,4180.0,21.0
2023-09-17,50.0,29.0,21.0,7020.8,3,-230.0,50.0,631.5714285714286,2501.8347838564964,8130.0,3709.0,209.0
2023-09-18,450.0,241.0,209.0,7229.8,2,21.0,-10.0,662.8571428571429,2493.831217796653,8580.0,3940.0,-129.0
2023-09-20,0.0,129.0,-129.0,7100.8,3,209.0,90.0,631.5714285714286,2503.5703077234084,8400.0,3979.0,551.0
2023-09-21,4051.0,3500.0,551.0,7651.8,4,-129.0,-2250.0,1031.7142857142858,2167.5417500235685,11701.0,4479.0,-5600.0
2023-09-22,0.0,5600.0,-5600.0,2051.8,7,551.0,5860.0,-605.4285714285714,2239.607767530053,5531.0,9769.0,1153.0
2023-09-23,1280.0,127.0,1153.0,3204.8,5,-5600.0,940.0,-575.0,2265.4027603644045,5831.0,9856.0,-110.0
2023-09-24,0.0,110.0,-110.0,3094.8,1,1153.0,-230.0,-557.8571428571429,2268.899911746617,5831.0,9736.0,1060.0
2023-09-25,1120.0,60.0,1060.0,4154.8,4,-110.0,21.0,-409.42857142857144,2345.76248137948,6901.0,9767.0,-3601.0
2023-09-26,400.0,4001.0,-3601.0,553.8,4,1060.0,209.0,-953.7142857142857,2605.9405029205673,6851.0,13527.0,70.0
2023-09-27,600.0,530.0,70.0,623.8,6,-3601.0,-129.0,-925.2857142857143,2617.496750350463,7451.0,13928.0,160.0
2023-09-28,1450.0,1290.0,160.0,783.8,3,70.0,551.0,-981.1428571428571,2584.708908727855,4850.0,11718.0,100.0
2023-09-29,600.0,500.0,100.0,883.8,2,160.0,-5600.0,-166.85714285714286,1595.7193183192144,5450.0,6618.0,105.0
2023-09-30,480.0,375.0,105.0,988.8,6,100.0,1153.0,-316.57142857142856,1497.381253738544,4650.0,6866.0,659.0
2023-10-01,5250.0,4591.0,659.0,1647.8,6,105.0,-110.0,-206.71428571428572,1542.5893506574912,9900.0,11347.0,170.0
2023-10-02,540.0,370.0,170.0,1817.8,2,659.0,1060.0,-333.85714285714283,1454.973244722094,9320.0,11657.0,571.0
2023-10-03,600.0,29.0,571.0,2388.8,3,170.0,-3601.0,262.14285714285717,244.85194749168724,9520.0,7685.0,170.0
2023-10-04,250.0,80.0,170.0,2558.8,4,571.0,70.0,276.42857142857144,234.4702235130966,9170.0,7235.0,410.0
2023-10-05,600.0,190.0,410.0,2968.8,4,170.0,160.0,312.14285714285717,232.81425255012195,8320.0,6135.0,114.0
2023-10-06,920.0,806.0,114.0,3082.8,7,410.0,100.0,314.14285714285717,230.73897848103596,8640.0,6441.0,-39.0
2023-10-07,2330.0,2369.0,-39.0,3043.8,5,114.0,105.0,293.57142857142856,257.37447240861866,10490.0,8435.0,1800.0
2023-10-08,1900.0,100.0,1800.0,4843.8,2,-39.0,659.0,456.57142857142856,625.4672539104517,7140.0,3944.0,-1960.0
2023-10-09,200.0,2160.0,-1960.0,2883.8,5,1800.0,170.0,152.28571428571428,1114.811002559881,6800.0,5734.0,-235.0
2023-10-10,100.0,335.0,-235.0,2648.8,4,-1960.0,571.0,37.142857142857146,1105.9449095036962,6300.0,6040.0,-570.0
2023-10-11,250.0,820.0,-570.0,2078.8,5,-235.0,170.0,-68.57142857142857,1126.3086991203973,6300.0,6780.0,1200.0
2023-10-12,1200.0,0.0,1200.0,3278.8,2,-570.0,410.0,44.285714285714285,1218.0936901959694,6900.0,6590.0,600.0
2023-10-13,600.0,0.0,600.0,3878.8,1,1200.0,114.0,113.71428571428571,1236.4417649429488,6580.0,5784.0,-1020.0
2023-10-14,0.0,1020.0,-1020.0,2858.8,3,600.0,-39.0,-26.428571428571427,1310.0404392158848,4250.0,4435.0,-915.0
2023-10-15,0.0,915.0,-915.0,1943.8,4,-1020.0,1800.0,-414.2857142857143,1056.5605700078127,2350.0,5250.0,300.0
2023-10-16,1300.0,1000.0,300.0,2243.8,2,-915.0,-1960.0,-91.42857142857143,825.5539265937033,3450.0,4090.0,709.0
2023-10-17,950.0,241.0,709.0,2952.8,2,300.0,-235.0,43.42857142857143,873.880590077547,4300.0,3996.0,930.0
2023-10-18,930.0,0.0,930.0,3882.8,1,709.0,-570.0,257.7142857142857,882.2593561014627,4980.0,3176.0,-35.0
2023-10-19,0.0,35.0,-35.0,3847.8,2,930.0,1200.0,81.28571428571429,779.9764343204441,3780.0,3211.0,-540.0
2023-10-20,0.0,540.0,-540.0,3307.8,2,-35.0,600.0,-81.57142857142857,772.5988301705798,3180.0,3751.0,-2606.0
2023-10-21,830.0,3436.0,-2606.0,701.8,3,-540.0,-1020.0,-308.14285714285717,1205.141959628466,4010.0,6167.0,-210.0
2023-10-22,0.0,210.0,-210.0,491.8,2,-2606.0,-915.0,-207.42857142857142,1175.057141467717,4010.0,5462.0,200.0
2023-10-23,370.0,170.0,200.0,691.8,4,-210.0,300.0,-221.71428571428572,1168.4492164525457,3080.0,4632.0,-93.0
2023-10-24,350.0,443.0,-93.0,598.8,7,200.0,709.0,-336.2857142857143,1099.2492459683115,2480.0,4834.0,921.0
2023-10-25,1000.0,79.0,921.0,1519.8,3,-93.0,930.0,-337.57142857142856,1097.5252247887588,2550.0,4913.0,-10.0
2023-10-26,0.0,10.0,-10.0,1509.8,1,921.0,-35.0,-334.0,1098.71394518015,2550.0,4888.0,36.0
2023-10-28,800.0,764.0,36.0,1545.8,5,-10.0,-540.0,-251.71428571428572,1102.2780523814765,3350.0,5112.0,-20.0
2023-10-30,202.0,222.0,-20.0,1525.8,4,36.0,-2606.0,117.71428571428571,375.4529328183505,2722.0,1898.0,-30.0
2023-10-31,0.0,30.0,-30.0,1495.8,1,-20.0,-210.0,143.42857142857142,354.8670441836141,2722.0,1718.0,-145.0
2023-11-01,0.0,145.0,-145.0,1350.8,1,-30.0,200.0,94.14285714285714,369.3622560447565,2352.0,1693.0,-380.0
2023-11-02,280.0,660.0,-380.0,970.8,4,-145.0,-93.0,53.142857142857146,407.5522169290772,2282.0,1910.0,-240.0
2023-11-03,0.0,240.0,-240.0,730.8,2,-380.0,921.0,-112.71428571428571,150.99085434301713,1282.0,2071.0,-519.0
2023-11-04,0.0,519.0,-519.0,211.8,2,-240.0,-10.0,-185.42857142857142,205.8703938103174,1282.0,2580.0,-20.0
2023-11-05,0.0,20.0,-20.0,191.8,1,-519.0,36.0,-193.42857142857142,196.71625686323398,482.0,1836.0,-105.0
2023-11-06,200.0,305.0,-105.0,86.8,3,-20.0,-20.0,-205.57142857142858,186.58943980733525,480.0,1919.0,539.0
2023-11-07,1150.0,611.0,539.0,625.8,5,-105.0,-30.0,-124.28571428571429,338.18225573680564,1630.0,2500.0,395.0
2023-11-08,445.0,50.0,395.0,1020.8,4,539.0,-145.0,-47.142857142857146,390.25095710812246,2075.0,2405.0,3010.0
2023-11-09,3150.0,140.0,3010.0,4030.8,3,395.0,-380.0,437.14285714285717,1190.7543027525894,4945.0,1885.0,-1290.0
2023-11-10,10.0,1300.0,-1290.0,2740.8,3,3010.0,-240.0,287.14285714285717,1346.2525058560914,4955.0,2945.0,3250.0
2023-11-11,3440.0,190.0,3250.0,5990.8,4,-1290.0,-519.0,825.5714285714286,1681.9479636364936,8395.0,2616.0,1360.0
2023-11-12,4900.0,3540.0,1360.0,7350.8,6,3250.0,-20.0,1022.7142857142857,1646.8282357596477,13295.0,6136.0,-1220.0
